dataset;session;speaker;utterance
dtrs-11;12-briefing-with-stakeholders;Amanda;Us going to probe each team
dtrs-11;12-briefing-with-stakeholders;Ewan;Yeah yeah, so that is us, kind of- then they're kind of more or less finished with each of the products, and the we gonna be there, and we gonna review- we gonna ask some questions, kind of being some investors or something. Is it like the- (INAUDIBLE) we can do some kind of- then they, hopefully the products is (..) is- they have verbalized enough and thought of much- so much about it, that they're able to kind of tackle different things that we gonna ask them, and this is to- to make sure that it's strong, that it doesn't collapse as if we just blow on it (INAUDIBLE). Then we gonna have a pitch and shareback, and that's kind of closing in on the very end, so then they go from- we have of all these ideas and that we have templates that they're gonna fill out, so big (.) amount of information about the product, maybe a drawing, eh why they're excited about it, where they heard about it, where theyre gonna be selling it, and so on, why they gonna brag, and so on, and they are gonna condense this into a pitch, which is much shorter, and that's gonna be interesting, what do they pick from these 15 things they have here, that I really like. They need to pick some of them, so what is the very very target that (INAUDIBLE), that they're gonna push forward. Theyøre gonna pitch that to the other company, which is like company red, company blue, they're gonna pitch to each other, and then we gonna have a shareback in regards to that. And in the last minutes of this shareback we gonna say, okay, we just got a call from THE COMPANY, they don't know we're THE COMPANY yet, and our (INAUDIBLE), and we got a call from THE COMPANY, they are very very interested in buying your company, but eh they the product that you just made, to fit into their company value. And we're not gonna say anything about what THE COMPANY's values are, we are gonna use what they feel it is, and then we gonna have a talk about what are this, and how they can change their product into fit into THE COMPANY. And again, this could be a frying pan and a robot, but that again not what we interested in, we're interested in how they change their story-telling to fit and then still keep it exciting. When that is done, we wrap up by giving them all the beautiful cars that we got from eh form eh Ben, and we say thank you, and goodnight and they leave, and then we have a classic de-brief, with us in the team of course and eh we go home and the we continue the three nu-eh- days, the two days, three days of-
dtrs-11;12-briefing-with-stakeholders;Hans;And that's completely new people, (that never been here before?)
dtrs-11;12-briefing-with-stakeholders;Ewan;Yeah, so seven of them are the same. So it's all of these plus two new, and we are changing up the groups completely, so the people that were in groups before, these guys and these guys, will not be mixed again, and now we know them a little better so now we can kind of design the teams more. And I'm assuming that each new person come (INAUDIBLE) each different team. And eh yeah. That's the plan. And we took of course- this is the process, it took some time to get there, but I think we're all very con- are pretty confident around, yes, this is the right setup. And eh i'm very excited
dtrs-11;12-briefing-with-stakeholders;Tiffany;Yeah it sounds really good
dtrs-11;12-briefing-with-stakeholders;Nina;Yeah it sounds really good
dtrs-11;12-briefing-with-stakeholders;Hans;It sounds very good, and you tried it out (INAUDIBLE) you had the run before, in the beginning?
dtrs-11;12-briefing-with-stakeholders;Ewan;Eh yeah, so this is that session, we had the first session
dtrs-11;12-briefing-with-stakeholders;Hans;Yeah
dtrs-11;12-briefing-with-stakeholders;Ewan;That was a different setup. Eh it was the same people but that was, you know, we were here, they came here for the first time, we needed to verify that what we have learned in CHINESE CITY is still relevant.
dtrs-11;12-briefing-with-stakeholders;Hans;Ah okay
dtrs-11;12-briefing-with-stakeholders;Ewan;We couldn't go straight into this, that was- can you remember in CHINESE CITY, health and eh status symbol, and stuff like that, was just one of many many themes we found. We just scratched the surface of that was, so we used the entire first session to verify and dig deeper into that specific theme. We could have chosen control or controlable, or (INAUDIBLE) or whatever, but all of them are just scrathing in the surface, so we used the first session to really, is it true?, yes, let's go deeper. And that was when we found these other themes within the main theme. Eh yeah. So that's where we are.
dtrs-11;12-briefing-with-stakeholders;Tiffany;Good
dtrs-11;12-briefing-with-stakeholders;Hans;Sounds really- yeah
dtrs-11;12-briefing-with-stakeholders;Ewan;Yeah, we're super excited
dtrs-11;12-briefing-with-stakeholders;Tiffany;Makes sense
dtrs-11;12-briefing-with-stakeholders;Ewan;Yeah? Great.
dtrs-11;12-briefing-with-stakeholders;Ewan;And eh Tiffany you're gonna like this guy. This is John, he's a translator, american born, but eh, speak perfectly chinese and american, he's huge! (everybody's laughing)
dtrs-11;12-briefing-with-stakeholders;Tiffany;So I like huge men? (everybody's laughing)
dtrs-11;12-briefing-with-stakeholders;Ewan;I've read your post's  (everybody's laughing)
dtrs-11;12-briefing-with-stakeholders;Ewan;Alright, I think we'll keep it there and eh unless you have any questions. Or you probably have hundreds of questions but you gonna get eh a lot of time to- to ask them and- and they're gonna be answered, and you're gonna meet them some day.
dtrs-11;12-briefing-with-stakeholders;Tiffany;Yeah
dtrs-11;12-briefing-with-stakeholders;Hans;The pro- they will continue evolving this, or maybe-
dtrs-11;12-briefing-with-stakeholders;Ewan;Yeah so they- of course, they don't know yet that they will produce a- a product or be a company. Eh they will know that in the beginning of this day, eh but we know them a little bit know, they know what the theme is about, they are verbalizing in their- in their minds, marinating the theme, and so- first (INAUDIBLE), verifying and probing into a specific area, (INAUDIBLE) taking those findings and materializing them, and understanding their decision-making process.
dtrs-11;12-briefing-with-stakeholders;Hans;And- and the impact from you, is for eh- only put in some disturbance into that, with the questions or- or-
dtrs-11;12-briefing-with-stakeholders;Ewan;Yeah so we are defining the theme, we are defining the setup, we're defining everything, and of course eh as moderators Will and  Rose of course, they will continuously keep  them in line, and we will continuously make sure that we are disrupting their process in a- in a positive way, you know, we want to make sure that they are not taking the easy way out. We want them to constantly be excited about what they are making, constantly telling us why it is appealing, why it is important, and so on, and so on.
dtrs-11;12-briefing-with-stakeholders;Tiffany;And it was easy to get them going like, in just-
dtrs-11;12-briefing-with-stakeholders;Ewan;Yeah yeah, more than we thought. We had a kind of scenario, where it was like, oh they don't gonna say anything , it's gonna be politically correctness all the time, but it turned out to be (.) many of them had, most of them actually had, eh a grat ability to expose themselves and join in. Of course we saw some political correctness, but that- that is how it is, that is how it is at home as well. Ehm yeah. And remember, this is (..)- what we learn in these two sessions is not the- the answer, this is a part of the puzzle, eh so when we come home we will take this, and we have really direction. And we will the evolve that further, and we know that we wil not end up with like, the product in the end. We will end up with a framework that will dictate eh a really good direction, and we will for sure have examplified something, but it's in the end among project- the process, but we hoped that yeah, this is the areas, this is how we should communicate that area of communication, areas of sales and area og product service. And this is a very good indicator from- we get it from the customer's mouth, right here.
dtrs-11;12-briefing-with-stakeholders;Hans;I'm a little bit curious about the, what do you say, the demographic of the respondents
dtrs-11;12-briefing-with-stakeholders;Ewan;Yeah
dtrs-11;12-briefing-with-stakeholders;Hans;is that eh exactly the same as we had on CHINESE CITY?
dtrs-11;12-briefing-with-stakeholders;Ewan;Yeah, and that was what we used this first session for, to make sure that we (see?), meet the right people, eh and they have the same value-set and they have the same, kind of, decision-making path. Eh and we've really f- think we've found the right people and of course we got it confirmed eh that we are within the demographic that is the latest from eh from eh MI (referring to a market survey with the purpose of positioning THE COMPANY among other competitors), which is good. These are young, progressive people
dtrs-11;12-briefing-with-stakeholders;Amanda;Active urbanized
dtrs-11;12-briefing-with-stakeholders;Ewan;Active urbanized, the same as we saw in CHINESE CITY. Of course there are some regional differences, probably, but not anything we can notice eh maybe you guys for sure noticed the dialect of course and maybe a thing here and there, but you know, they are at least the same people. Yeah.
